08563,08563_Ag_EU_ATHENA_Centre_of_Technical_Culture_In
08564,08564_Ag_EU_ATHENA_Piraeus_Bank
08566,08566_Ag_EU_ATHENA_Royal_Museum_for_Art_and_Histor
08568,08568_Ag_EU_ATHENA_DNB_DBSM
08572,08572_Ag_EU_ATHENA_Maanteemuuseum
08573,08573_Ag_EU_ATHENA_Piimandusmuuseum
08574,08574_Ag_EU_ATHENA_National_Documentation_Centre
08602,08602_Ag_EU_EFG_InstituoLuce
08603,08603_Ag_EU_EFG_FilmArchiv
08604,08604_Ag_EU_EFG_DIF
08607,08607_Ag_EU_EFG_NatLibNO
08608,08608_Ag_EU_EFG_Bern
08609,08609_Ag_EU_EFG_Filmoteka_Narodowa
08610,08610_Ag_EU_EFG_Cinemateca_Portuguesa
08611,08611_Ag_EU_EFG_Cineteca_del_Comune_di_Bologna
08612,08612_Ag_EU_EFG_Tainiothiki_tis_Ellados
08613,08613_Ag_EU_EFG_KAVA
08615,08615_Ag_EU_EFG_NFA
08616,08616_Ag_EU_EFG_Cinematheque
08617,08617_Ag_EU_EFG_Deutsche_Kinemathek
08618,08618_Ag_EU_EFG_Estonian_Filmarchives
08620,08620_Ag_EU_EFG_Jugoslovenska_Kinoteka
08621,08621_Ag_EU_EFG_Osterreichisches_Filmmuseum
08622,08622_Ag_EU_EFG_Imperial_War_Museums
08625,08625_Ag_EU_EFG_FilmotecaEspanola
08626,08626_Ag_EU_EFG_BArch
08627,08627_Ag_EU_EFG_CNC
08629,08629_Ag_EU_EFG_SSANLS
08631,08631_Ag_EU_EFG_CDF
08632,08632_Ag_EU_EFG_MNC
08633,08633_Ag_EU_EFG_LandesfilmsammlungBW
08701,08701_Ag_EU_BHL
08702,08702_Ag_EU_LandesMuseum
08705,08705_Ag_EU_RBGE
08708,08708_Ag_EU_UBER
08710,08710_Ag_EU_UHVIIKKI
08803,08803_Ag_EU_ETravel_DebMaps
08804,08804_Ag_EU_ETravel_DebBooks
08805,08805_Ag_EU_ETravel_Moravska
08806,08806_Ag_EU_ETravel_NLW
08807,08807_Ag_EU_ETravel_LundUniversity
08808,08808_Ag_EU_ETravel_TCD
08809,08809_Ag_EU_ETravel_UCL
08905,08905_Ag_AT_EuropeanaConnect_UIBK
09002,09002_A_NL_NatArch_FindingsAids
09202,09202_Ag_EU_EUscreen_INA
09203,09203_Ag_EU_EUscreen_RTV_Slovenia
09204,09204_Ag_EU_EUscreen_HeNAA
09205,09205_Ag_EU_EUscreen_Deutsche_Welle
09206,09206_Ag_EU_EUscreen_EUscreen_RTBF
09207,09207_Ag_EU_EUscreen_ORF
09208,09208_Ag_EU_EUscreen_TVC
09209,09209_Ag_EU_EUscreen_Beeld_en_Geluid
09210,09210_Ag_EU_EUscreen_National_Library_of_Sweden
09211,09211_Ag_EU_EUscreen_VRT
09212,09212_Ag_EU_EUscreen_RTE
09214,09214_Ag_EU_EUscreen_Polish_Television
09215,09215_Ag_EU_EUscreen_Romanian_Television
09216,09216_Ag_EU_EUscreen_RAI_Public_Italian_Television
09217,09217_Ag_EU_EUscreen_Memoriav_-_SRF
09218,09218_Ag_EU_EUscreen_National_Audiovisual_Archive
09219,09219_Ag_EU_EUscreen_Memoriav_-_RTS
09220,09220_Ag_EU_EUscreen_British_Broadcasting_Corporat
09221,09221_Ag_EU_EUscreen_Danish_Broadcasting_Corporati
09301,09301_Ag_EU_Judaica_mcy78
09302,09302_Ag_EU_Judaica_fra1
09303,09303_Ag_EU_Judaica_mcy33
09304,09304_Ag_EU_Judaica_mcy
09305,09305_Ag_EU_Judaica_aiu
09306,09306_Ag_EU_Judaica_cfmj1
09307,09307_Ag_EU_Judaica_Jewish_Museum_London
09308,09308_Ag_EU_Judaica_fra2
09309,09309_Ag_EU_Judaica_fra3
09310,09310_Ag_EU_Judaica_fra4
09311,09311_Ag_EU_Judaica_aiu2
09312,09312_Ag_EU_Judaica_akadem1
09313,09313_Ag_EU_Judaica_Jewish_Museum_Amsterdam
09314,09314_Ag_EU_Judaica_Jewish_Museum_Greece
09317,09317_Ag_EU_Judaica_Museo_Sefardi_Toledo
09318,09318_Ag_EU_Judaica_Minister_for_Cultural_Heritage
09321,09321_Ag_EU_Judaica_mcy2
09322,09322_Ag_EU_Judaica_mcy3
09323,09323_Ag_EU_Judaica_aiu4
09324,09324_Ag_EU_Judaica_aiu5
09325,09325_Ag_EU_Judaica_mcy4
09326,09326_Ag_EU_Judaica_cfmj3
09327,09327_Ag_EU_Judaica_akadem2
09329,09329_Ag_EU_Judaica_Hungarian_Jewish_Archives2
09330,09330_Ag_EU_Judaica_Jewish_Museum_London2
09331,09331_Ag_EU_Judaica_National_Library_Israel
09334,09334_Ag_EU_Judaica_mcy5
09335,09335_Ag_EU_Judaica_cfmj4
09336,09336_Ag_EU_Judaica_mcy6
09403,09403_Ag_AT_ELocal
09411,09411_Ag_GR_ELocal
09419,09419_Ag_LT_Elocal
09424,09424_Ag_LV_ELocal
09425,09425_Ag_EE_ELocal
09426,09426_Ag_MT_Elocal
09428,09428_Ag_DE_ELocal.xml
0943101,0943101_Ag_BG_PenchoSlaveykov_ARTICLE
0943102,0943102_Ag_BG_PenchoSlaveykov_ADVERT
0943103,0943103_Ag_BG_PenchoSlaveykov_LIBRODINA_ARTICLE
0943105,0943105_Ag_BG_PenchoSlaveykov_LIBDOBRICH_PHOTO
0943106,0943106_Ag_BG_PenchoSlaveykov_LIBRUSE_PHOTO
0943107,0943107_Ag_BG_PenchoSlaveykov_LIBHASKOVO_PHOTO
0943108,0943108_Ag_BG_PenchoSlaveykov_LIBVAR:ARTICLE_2014
0943109,0943109_Ag_BG_PenchoSlaveykov_LIBVAR:ADVERT_2014
09701,09701_L_IE_IVRLA_Beranger_ese
09702,09702_L_IE_IVRLA_Boehm_ese
09705,09705_L_IE_IVRLA_Folklore_Photos_ese
09707,09707_L_IE_IVRLA_MichaelCollins_ese
09709,09709_L_IE_IVRLA_OCurry_ese
09710,09710_L_IE_IVRLA_Odonovan_Reeves_ese
09711,09711_L_IE_IVRLA_OLochlainn_ese
09714,09714_L_IE_IVRLA_Wadding_ese
09715,09715_L_IE_IVRLA_Frazer_ese
09901,09901_CH_MediathequeValais_k
09902,09902_CH_MediathequeValais_v
09903,09903_CH_MediathequeValais_s
10001,10001_L_CH_dodis
10102,10102_Ag_EU_STERNA_39
10104,10104_Ag_EU_STERNA_44
10501,10501_Ag_PT_RNOD
10601,10601_AV_DW_ASSETS_EA_1
10604,10604_AV_DW_ASSETS_EA_4
10606,10606_AV_DW_ASSETS_EA_6
10607,10607_AV_DW_ASSETS_EV_1
10608,10608_AV_DW_ASSETS_EV_2
10608,10608_AV_DW_
10610,10610_AV_DW_ASSETS_EV_4
10614,10614_AV_DW_ASSETS_EV_8
10615,10615_AV_DW_ASSETS_GA_1
10616,10616_AV_DW_ASSETS_GA_2
10617,10617_AV_DW_ASSETS_GA_3
10620,10620_AV_DW_ASSETS_GA_6
10621,10621_AV_DW_ASSETS_GA_7
10622,10622_AV_DW_ASSETS_GA_8
10623,10623_AV_DW_ASSETS_GV_1
10625,10625_AV_DW_ASSETS_GV_3
10626,10626_AV_DW_ASSETS_GV_4
10701,10701_AV_ANSC_ASSETS_1
10702,10702_AV_ANSC_ASSETS_2
10703,10703_AV_ANSC_ASSETS_3
10901,10901_AV_FLM_ASSETS_1
10903,10903_AV_FLM_ASSETS_3
10904,10904_AV_FLM_ASSETS_tex1
10905,10905_AV_FLM_ASSETS_tex2
10906,10906_AV_FLM_ASSETS_1_part2
10907,10907_AV_FLM_ASSETS_tex1_part2
10908,10908_AV_FLM_ASSETS_tex2_part2
11001,11001_AV_ALBENIZ_ASSETS_CARTAS
11002,11002_AV_ALBENIZ_ASSETS_Fotos
11003,11003_AV_ALBENIZ_ASSETS_VIDEOS_AUDITORIUM
11005,11005_AV_ALBENIZ_ASSETS_VIDEOS_MAGISTER_CHAMBER
11006,11006_AV_ALBENIZ_ASSETS_VIDEOS_MAGISTER_PIANO
11007,11007_AV_ALBENIZ_ASSETS_VIDEOS_MAGISTER_VIOLIN
11601,11601_Ag_EU_OpenUp!_NHMV
11602,11602_Ag_EU_OpenUp!_HERBARWU
11603,11603_Ag_EU_OpenUp!_LANDOOE
11604,11604_Ag_EU_OpenUp!_UH
11610,11610_Ag_EU_OpenUp!_ETI
11612,11612_Ag_EU_OpenUp!_IBSAS
11613,11613_Ag_EU_OpenUp!_NM
11614,11614_Ag_EU_OpenUp!_RBGK
11615,11615_Ag_EU_OpenUp!_UCPH
11616,11616_Ag_EU_OpenUp!_RBGE
11617,11617_Ag_EU_OpenUp!_UTNHM
11618,11618_Ag_EU_OpenUp!_ZFMK
11619,11619_Ag_EU_OpenUp!_NBCNL
11620,11620_Ag_EU_OpenUp!_MNHN
11621,11621_Ag_EU_OpenUp!_NHM
11622,11622_Ag_EU_OpenUp!_MFN_MINERALOGY
11623,11623_Ag_EU_OpenUp!_MRAC
11624,11624_Ag_EU_OpenUp!_GIT
11627,11627_Ag_EU_OpenUp!_ALGATERRA
11628,11628_Ag_EU_OpenUp!_FOTO_AM
11629,11629_Ag_EU_OpenUp!_BGBMII
15403,15403_L_IE_IMC_cbl
15404,15404_L_IE_IMC_itma
15405,15405_L_IE_IMC_doegen
15406,15406_Ag_IR_Irish_Manuscript_balfour
15407,15407_Ag_IR_NationalGallery_ngi
15409,15409_Ag_IR_IMC_ria
15410,15410_Ag_IR_IMC_crawford
15412,15412_Ag_IE_IMC_itma_2
15414,15414_Ag_IE_IMC_niah
15415,15415_L_IE_IMC_cce
15416,15416_L_IE_IMC_oireachtas
15501,15501_Ag_AT_Kulturpool_Imareal
15502,15502_Ag_AT_Kulturpool_Khm
15503,15503_Ag_AT_Kulturpool_khm_fs
15504,15504_Ag_AT_Kulturpool_khm_vf
15507,15507_Ag_AT_Kulturpool_wienbib
15508,15508_Ag_AT_Kulturpool_albertina
15701,15701_Ag_EU_GAMA_argos
15702,15702_Ag_EU_GAMA_emaf
15703,15703_Ag_EU_GAMA_lima
15704,15704_Ag_EU_GAMA_transmediale
15705,15705_Ag_EU_GAMA_wro
15706,15706_Ag_EU_GAMA_hfg
15801,15801_L_FR_BML_AFFL
15802,15802_L_FR_BML_ESTA
15803,15803_L_FR_BML_ENLU
15903,15903_AV_IE_ARD_text28
2020102,2020102_Ag_SI_dLib.si_sigledal_programme_notes
2020104,2020104_Ag_SI_Nat.EContentAggregator_sigledal_arti
2020105,2020105_Ag_SI_Nat.EContentA_sigledal_images
2020108,2020108_Ag_SI_Nat.EContentAggregator_Culture_si
2020109,2020109_Ag_SI_Nat.EContentAggregator_sigic_images
2020111,2020111_Ag_SI_Nat.EContentAggregator_sigledal_sket
2020112,2020112_Ag_SI_Nat.EContentAggregator_modern_galler
2020114,2020114_Ag_SI_Nat.EContentAggregator_Ljubljanski
2020115,2020115_Ag_SI_Nat.EContentAggregator_Slovenski_gos
2020124,2020124_Ag_SI_Nat.EContentAggregator_Stajerc_edm
2020201,2020201_Ag_NL_Brill_anticalvin
2020601,2020601_Ag_ErsterWeltkrieg_EU
2020701,2020701_Ag_EU_CARARE_SNS
2020702,2020702_Ag_EU_CARARE_SNHB
2020703,2020703_Ag_EU_CARARE_Ceti
2020704,2020704_Ag_EU_CARARE_CHA
2020706,2020706_Ag_EU_CARARE_NPU
2020707,2020707_Ag_EU_CARARE_GAI
2020708,2020708_Ag_EU_CARARE_ADS
2020709,2020709_Ag_EU_CARARE_NHBP
2020710,2020710_Ag_EU_CARARE_DANS
2020711,2020711_Ag_EU_CARARE_EHB
2020712,2020712_Ag_EU_CARARE_Slovenia
2020714,2020714_Ag_EU_CARARE_Malta
2020715,2020715_Ag_EU_CARARE_Jaen
2020716,2020716_Ag_EU_CARARE_CIMEC
2020717,2020717_Ag_EU_CARARE_NAIM
2020718,2020718_Ag_EU_CARARE_CHA2
2020720,2020720_Ag_EU_CARARE_Cyprus
2020721,2020721_Ag_EU_CARARE_Brussels
2020722,2020722_Ag_EU_CARARE_DNAM
2020723,2020723_Ag_EU_CARARE_AgencyCulture
2020724,2020724_Ag_EU_CARARE_AgencyCulture2
2020725,2020725_Ag_EU_CARARE_AgencyCulture3
2020726,2020726_Ag_EU_CARARE_Iceland
2020728,2020728_Ag_EU_CARARE_Dutch
2020729,2020729_Ag_EU_CARARE_JAEN2
2020730,2020730_Ag_EU_CARARE_GAI2
2020736,2020736_Ag_EU_CARARE_nhbp_POL_GFT
2020901,2020901_Ag_DK_Danske_Billeder
2020902,2020902_Ag_DK_Elocal
2021001,2021001_Ag_FI_NDL_Raita_collection
2021003,2021003_Ag_FI_NDL_fragmenta
2021004,2021004_Ag_FI_NDL_ephemera_mv
2021005,2021005_Ag_FI_NDL_ephemera_o
2021006,2021006_Ag_FI_NDL_ephemera_tb
2021007,2021007_Ag_FI_NDL_sls
2021008,2021008_Ag_FI_NDL_lusto
2021102,2021102_Ag_CZ_CroatianCulturalHeritage_Fotografij4
2021103,2021103_Ag_CZ_CroatianCulturalHeritage_Razglednic5
2021104,2021104_Ag_CZ_CroatianCulturalHeritage_Sitni_tisa6
2021107,2021107_Ag_CZ_CroatianCulturalHeritage_Knjige10
2021108,2021108_Ag_CZ_CroatianCulturalHeritage_Zvučni11
2021111,2021111_Ag_CZ_CroatianCulturalHeritage_Notni15
2021114,2021114_Ag_CZ_CroatianCulturalHeritage_Portretne25
2021201,2021201_L_TR_NationalLibrary_manuscripts
2021202,2021202_L_TR_StateArchives_fermans
2021203,2021203_L_TR_StateArchives_HistoricalArchivalContent
2021501,2021501_Ag_BG_Ontotext_hdl_pub_1
2021502,2021502_Ag_BG_Ontotext_hdl_pub_3
2021602,2021602_Ag_NL_DigitaleCollectie_DBNL
2021603,2021603_Ag_NL_DigitaleCollectie_Circusmuseum
2021604,2021604_Ag_NL_DigitaleCollectie_LM-uniformen
2021605,2021605_Ag_NL_DigitaleCollectie_LM-voertuigen
2021606,2021606_Ag_NL_DigitaleCollectie_RM-Oudheden
2021608,2021608_Ag_NL_DigitaleCollectie_amsterdam-museum
2021609,2021609_Ag_NL_DigitaleCollectie_museum-rotterdam
2021612,2021612_Ag_NL_DigitaleCollectie_eemland-k-en-o
2021613,2021613_Ag_NL_DigitaleCollectie_GeluidvanNL
2021614,2021614_Ag_NL_DigitaleCollectie_limburgs_erfgoed
2021615,2021615_Ag_NL_DigitaleCollectie_nmm-handvuurwapens
2021618,2021618_Ag_NL_DigitaleCollectie_TeylersKunst
2021619,2021619_Ag_NL_DigitaleCollectie_Martena
2021620,2021620_Ag_NL_DigitaleCollectie_CatherijneConvent
2021623,2021623_Ag_NL_DigitaleCollectie_oudeGronigerKerken
2021626,2021626_Ag_NL_DigitaleCollectie_de_hollandsche_mol
2021627,2021627_Ag_NL_DigitaleCollectie_streekarchief
2021628,2021628_Ag_NL_DigitaleCollectie_gemertbakel
2021629,2021629_Ag_NL_DigitaleCollectie_zutphen
2021630,2021630_Ag_NL_DigitaleCollectie_zeeuwse_bibliothee
2021633,2021633_Ag_NL_DigitaleCollectie_hertogenbosch
2021634,2021634_Ag_NL_DigitaleCollectie_brabantsHIC
2021635,2021635_Ag_NL_DigitaleCollectie_GvZeist
2021636,2021636_Ag_NL_DigitaleCollectie_CODA
